127.0.0.1 - - [17/Jul/2019:10:38:32 +0900] "GET /testc/ HTTP/1.1" 200 2771
127.0.0.1 - - [17/Jul/2019:10:38:32 +0900] "GET /testc/resources/css/sample.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:40:19 +0900] "GET /testc/ HTTP/1.1" 200 2903
127.0.0.1 - - [17/Jul/2019:10:40:20 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:40:20 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:40:49 +0900] "GET /testc/ HTTP/1.1" 200 2903
127.0.0.1 - - [17/Jul/2019:10:44:17 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:48:31 +0900] "GET /testc/ HTTP/1.1" 200 2756
127.0.0.1 - - [17/Jul/2019:10:48:31 +0900] "GET /testc/resources/css/sample.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:50:19 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:51:08 +0900] "GET /testc/ HTTP/1.1" 200 2781
127.0.0.1 - - [17/Jul/2019:10:51:08 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:52:17 +0900] "GET /testc/ HTTP/1.1" 200 2758
127.0.0.1 - - [17/Jul/2019:10:52:17 +0900] "GET /testc/resources/images/back.jpg HTTP/1.1" 200 1499
127.0.0.1 - - [17/Jul/2019:10:52:18 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:52:56 +0900] "GET /testc/ HTTP/1.1" 200 2755
127.0.0.1 - - [17/Jul/2019:10:56:17 +0900] "GET /testc/ HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:10:56:17 +0900] "GET /testc/resources/css/sample.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Jul/2019:11:08:41 +0900] "GET /testc/ HTTP/1.1" 200 2804
127.0.0.1 - - [17/Jul/2019:11:08:41 +0900] "GET /testc/resources/css/sample.css HTTP/1.1" 304 -
